StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q2,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,Q11_1,Q12_1,Q13_1,Q14_1,Q15_1,Q16_1,Q17_1,Q18_1,Q19_1,Q20_1,Q21_1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Student ID - The value must be a number,"Gender

According to anthropometric charts","Stature/No Shoes
cm - The value must be a number","Eye Height, standing
cm - The value must be a number","Shoulder height, standing
cm - The value must be a number","Elbow height
cm - The value must be a number","Knuckle height
cm - The value must be a number","Height, sitting
cm - The value must be a number","Eye height, sitting
cm - The value must be a number","Elbow rest height, sitting
cm - The value must be a number","Thigh clearance height
cm - The value must be a number","Knee height, sitting
cm - The value must be a number","Buttock-knee distance, sitting
cm - The value must be a number","Popliteal height, sitting
cm - The value must be a number","Chest depth
cm - The value must be a number","Elbow – Elbow breadth
cm - The value must be a number","Hip breadth, sitting
cm - The value must be a number","Arm length
cm - The value must be a number","Hand length
cm - The value must be a number","Abdomen Depth
cm - The value must be a number","Weight (Optional)
kg - The value must be a number"
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID21_1""}"
2026-03-06 20:48:34,2026-03-06 20:50:59,IP Address,76.32.195.41,100,144,True,2026-03-06 20:50:59,R_3GOyWkhyCVG4J82,,,,,34.1453,-117.3005,anonymous,EN,16749135,Male,179,175,163,143,118,88,72,30,15,59,55,51,15,7,30,58,16,30,148
2026-03-09 15:27:58,2026-03-09 15:33:49,IP Address,134.71.249.133,100,350,True,2026-03-09 15:33:49,R_6RdSi7Hx0wNrhOj,,,,,34.067,-117.7729,anonymous,EN,18484297,Female,166,155,140,26,8.5,81,73,28,17,52,63,42,22,55,48,78,17.5,22,
2026-03-09 15:31:47,2026-03-09 15:34:38,IP Address,172.226.3.208,100,170,True,2026-03-09 15:34:38,R_74OZ1tcDAgg9j9D,,,,,33.8375,-117.9123,anonymous,EN,16216512,Male,187,176,157,122,86,144,132,78,15,53,53,51,17,45,34,61,17,15,
2026-03-09 15:32:57,2026-03-09 15:34:40,IP Address,134.71.249.143,100,103,True,2026-03-09 15:34:41,R_7oFRb9nH4WzC4rM,,,,,34.067,-117.7729,anonymous,EN,17816409,Male,183,174,152,122,76,140,122,74,15,53,51,51,18,48,41,61,18,15,
2026-03-09 15:33:08,2026-03-09 15:37:04,IP Address,134.71.249.244,100,236,True,2026-03-09 15:37:05,R_7hmB9yjDSPW2DTK,,,,,34.067,-117.7729,anonymous,EN,17335123,Male,184,173,153,119,81,139,124,75,16,54,52,50,18,49,42,63,19,16,74.8
2026-03-09 15:33:17,2026-03-09 15:39:12,IP Address,134.71.249.141,100,355,True,2026-03-09 15:39:12,R_7lKdcIaSgdMegQx,,,,,34.067,-117.7729,anonymous,EN,16763136,Male,180,172,150,116,79,137,122,71,15,55,49,49,17,48,41,62,18,15,
2026-03-09 15:16:26,2026-03-09 15:41:48,IP Address,134.71.249.112,100,1521,True,2026-03-09 15:41:49,R_7etvl5xdYBntLHp,,,,,34.067,-117.7729,anonymous,EN,18365113,Female,166,157,142,20,8,87,74.5,20,15,53,54,42,18,45,42,72,18.5,72,
2026-03-09 15:40:22,2026-03-09 15:42:33,IP Address,134.71.249.158,100,131,True,2026-03-09 15:42:33,R_6aWVcO9G6cdXvGM,,,,,34.067,-117.7729,anonymous,EN,16736005,Male,155,144,123,93,65,92,81,27,16,45,48,31,22,43,33,69,17.5,20,64.1
2026-03-09 15:40:53,2026-03-09 15:48:44,IP Address,134.71.249.193,100,471,True,2026-03-09 15:48:45,R_7FOtYgFPbm6U9Nq,,,,,34.067,-117.7729,anonymous,EN,17381403,Female,168.91,160.02,144.78,110.49,80.01,86.36,73.66,25.4,13.97,58.42,57.15,48.26,20.32,43.18,35.56,73.66,17.78,33.02,
2026-03-09 15:49:26,2026-03-09 15:53:25,IP Address,134.71.249.95,100,238,True,2026-03-09 15:53:25,R_7hDCnUi0OteZ6kF,,,,,34.067,-117.7729,anonymous,EN,18373667,Female,161.29,151.13,134.62,100.33,72.39,86.36,71.12,25.4,13.97,48.26,53.34,40.64,17.78,43.18,35.56,69.85,16.51,27.94,
2026-03-09 15:41:07,2026-03-09 16:00:38,IP Address,134.71.249.174,100,1171,True,2026-03-09 16:00:39,R_3xqFTDn36HC4eyZ,,,,,34.067,-117.7729,anonymous,EN,14840072,Male,180.34,170.18,149.86,110.49,74.295,92.71,81.28,24.765,16.51,57.785,57.15,47.625,22.86,55.88,38.1,80.01,20.32,34.925,
2026-03-09 15:32:10,2026-03-09 16:33:39,IP Address,134.71.249.218,100,3688,True,2026-03-09 16:33:40,R_6fQ0iq9uq6XxZN2,,,,,34.067,-117.7729,anonymous,EN,17080804,Female,157.5,146.7,129.5,97.8,69.9,83.8,69.9,22.9,14,46.4,52,39.4,22.9,41,38,50.8,17,21.6,
2026-03-09 15:18:04,2026-03-09 19:47:54,IP Address,76.95.108.44,100,16189,True,2026-03-09 19:47:54,R_1h0IPyWnWNqfgNT,,,,,34.067,-117.7729,anonymous,EN,17929548,Female,160,151,131,20,8,78,71.5,20,14,52,53,39,16,40,41,76,18.5,16,52
2026-03-10 14:20:04,2026-03-10 14:22:36,IP Address,134.71.249.47,100,152,True,2026-03-10 14:22:37,R_3D5aTmoo6PHe6lp,,,,,34.067,-117.7729,anonymous,EN,17634123,Male,176,166,144,108,70,94,81,25,17,53,57,42,22,42,39,74,20,21,
2026-03-10 20:24:48,2026-03-10 20:30:01,IP Address,172.226.212.62,100,313,True,2026-03-10 20:30:02,R_1qOn0owuzHcXZdb,,,,,34.0896,-117.4305,anonymous,EN,18457790,Male,180,167,148,111,76,98,85,27,17,56,60,41,27,52,44,78,18,24,88
2026-03-10 20:38:55,2026-03-10 20:40:32,IP Address,47.144.91.251,100,97,True,2026-03-10 20:40:32,R_1xPCUjp6FjQOnYq,,,,,34.0121,-117.6883,anonymous,EN,17397627,Male,175,165,146,110,73,95,80,27,18,55,57,42,27.5,50,46,76,20,26,
2026-03-10 22:01:25,2026-03-10 22:08:04,IP Address,47.154.104.171,100,398,True,2026-03-10 22:08:04,R_7J8XK7h7baEvHJp,,,,,34.0286,-117.8103,anonymous,EN,10856014,Male,189.23,179.705,160.02,120.65,82.55,91.44,85.09,24.13,15.24,62.23,66.04,49.53,27.305,54.61,40.64,86.36,22.225,34.29,
2026-03-10 21:57:48,2026-03-10 22:30:44,IP Address,76.32.200.164,100,1976,True,2026-03-10 22:30:45,R_5iBLdiuYPq8eU0x,,,,,34.1453,-117.3005,anonymous,EN,18388786,Male,183.1975,174.9425,152.7175,120.3325,81.28,93.98,83.185,22.86,15.39875,56.67375,60.325,46.99,25.0825,56.515,43.40225,80.645,20.0025,25.0825,92.9864
2026-03-11 08:26:31,2026-03-11 08:28:12,IP Address,134.71.249.243,100,101,True,2026-03-11 08:28:12,R_1L4m2HEADwBGZfX,,,,,34.067,-117.7729,anonymous,EN,18210621,Female,162,152,137,103,75,89,76,33,17,50,60,36,27,50,55,53,17,27,
2026-03-11 08:31:41,2026-03-11 08:37:59,IP Address,134.71.249.124,100,378,True,2026-03-11 08:38:00,R_6KoNmvzK8S3xcZ7,,,,,34.067,-117.7729,anonymous,EN,16754959,Male,154.4,144,123,96,69,86,77,27,16,40,50,31,21,45,33,69,17,19,65
2026-03-11 09:47:58,2026-03-11 09:54:55,IP Address,47.28.78.159,100,417,True,2026-03-11 09:54:56,R_7IajjPeKWVAfGoM,,,,,34.0582,-118.126,anonymous,EN,18147402,Male,170,156,137,102,71,89,80,25,17,53,55,42,23,42,41,66,18,22,73
2026-03-11 13:36:18,2026-03-11 13:40:08,IP Address,38.96.254.85,100,229,True,2026-03-11 13:40:08,R_1hNfKIjitbqeGXg,,,,,49.2476,-123.1234,anonymous,EN,18899400,Female,159,149.5,134,28,8.5,78,72,28,17,49,57,39,18.5,42,41,72,16.5,18.5,150
2026-03-11 13:37:26,2026-03-11 13:40:11,IP Address,134.71.249.169,100,164,True,2026-03-11 13:40:11,R_3xAfzirGM80VL3H,,,,,34.067,-117.7729,anonymous,EN,18907876,Female,155,147,129,24.5,7.5,81,74,24.5,14,49,54,39,19,45,43,73,16.5,19,
2026-03-11 15:04:05,2026-03-11 15:07:42,IP Address,134.71.249.210,100,217,True,2026-03-11 15:07:43,R_1TcZ0MW8PgDv0T7,,,,,34.067,-117.7729,anonymous,EN,12148734,Female,163.51,155.57,141.28,105.41,73.66,84.45,75.24,23.49,13.33,56.65,52.70,45.72,20.32,38.1,41.27,83.15,18.09,23.49,135
2026-03-11 15:05:16,2026-03-11 15:08:27,IP Address,134.71.249.39,100,190,True,2026-03-11 15:08:27,R_6gZ77AO3a11iUcI,,,,,34.067,-117.7729,anonymous,EN,16682913,Male,167,158,136,106,71,93,84,30,18,50,53,39,28,48,39,68,17,24,
2026-03-11 15:05:03,2026-03-11 15:14:14,IP Address,134.71.249.158,100,550,True,2026-03-11 15:14:14,R_7GWC5vlwnrrtUeP,,,,,34.067,-117.7729,anonymous,EN,17408235,Male,188,175,154,118,92,94,75,24,15,57,62,50,23,48,34,70,20,19,80
2026-03-11 15:13:37,2026-03-11 15:24:57,IP Address,134.71.249.111,100,679,True,2026-03-11 15:24:57,R_1MqqmQpDe2YQxWx,,,,,34.067,-117.7729,anonymous,EN,14923818,Male,176.2125,168.275,148.2725,110.8075,76.2,91.44,81.915,8.25,16.1925,56.8325,22.5,50.4825,16.51,49.2125,40.005,20.32,25.0825,25.0825,84.807
2026-03-11 15:07:26,2026-03-11 15:28:24,IP Address,134.71.249.157,100,1257,True,2026-03-11 15:28:24,R_6Qxg4VoLGvbMDHX,,,,,34.067,-117.7729,anonymous,EN,18218694,Male,170,155,138,28,77,86,77,28,15,53,53,48,45,53,26,78,19,16,68
2026-03-11 15:07:06,2026-03-11 15:29:52,IP Address,134.71.249.250,100,1366,True,2026-03-11 15:29:53,R_6fwj7CvD1Kwg8xh,,,,,34.067,-117.7729,anonymous,EN,17821154,Male,180,172,152,25,9,91,81,25,20,50,57,48,25,71,35,81,19,21,99
2026-03-11 15:30:31,2026-03-11 15:36:49,IP Address,134.71.249.246,100,378,True,2026-03-11 15:36:50,R_58lwkeIAAYXN7s5,,,,,34.067,-117.7729,anonymous,EN,17233723,Male,179,168,147,109,70,89,78,17,14,58,56,50,20,43,36,84,20,17,
2026-03-11 15:36:46,2026-03-11 15:47:10,IP Address,134.71.249.101,100,624,True,2026-03-11 15:47:11,R_1mSsJHRpAXsPfW1,,,,,34.067,-117.7729,anonymous,EN,17860518,Male,155,150,138,117,90,92,75,28,15,58,52,50,18,8,48,62,18,35,150
2026-03-11 15:29:00,2026-03-11 15:49:04,IP Address,134.71.249.212,100,1203,True,2026-03-11 15:49:05,R_1yutNXIXe9lOgff,,,,,34.067,-117.7729,anonymous,EN,16155282,Female,165.1,73.66,139.7,73.66,7.62,83.82,73.66,20.32,12.7,53.34,50.8,46.99,20.32,45.72,36.83,76.2,15.748,15.24,110
2026-03-11 16:00:26,2026-03-11 16:06:43,IP Address,134.71.249.113,100,376,True,2026-03-11 16:06:44,R_1S2BU4zTw1SjjV2,,,,,34.067,-117.7729,anonymous,EN,17347031,Male,181,149,136,114,89,84,75,74.5,14,60,56,48,7,7,17,58,17,33,76
2026-03-12 22:22:50,2026-03-12 22:25:00,IP Address,47.141.136.223,100,130,True,2026-03-12 22:25:00,R_6b3DHjV95QmuYvO,,,,,34.0607,-117.6644,anonymous,EN,18078125,Male,175,152,117,84,84,97,85,26.5,17.5,59,64,48.5,26,49.5,39,83,20.5,24.5,73
2026-03-13 10:28:46,2026-03-13 18:16:06,IP Address,76.166.172.26,100,28039,True,2026-03-13 18:16:07,R_3nVonOlKpKlEWn0,,,,,34.1453,-117.3005,anonymous,EN,10903100,Male,173,160,142,105,79,85,81,32,18,49,61,40,27,50,38,69,18,27.5,91
2026-03-18 15:42:11,2026-03-18 15:51:59,IP Address,134.71.249.37,100,587,True,2026-03-18 15:51:59,R_3ZKqverVulZUv0y,,,,,34.067,-117.7729,anonymous,EN,17409587,Male,179.8,167.0,144.5,111.5,74.0,90.8,79.5,24.0,14.5,55.0,65.0,47.0,24.0,45.0,38.0,78.0,19.3,24.0,
